"Item name","Item sku","Item barcode","Item description","Item manufacturer","Item weight","Listing name","Listing sku","Listing barcode","Listing description","Listing manufacturer","Item Woo_Item Colour","Item Woo_Price","Item Woo_TaxRate","Item Woo_Item Size","Listing Woo_TaxRate","Listing Woo_Price","Listing Woo_Item Size","Listing Woo_Item Colour","Item Woo_Categories","Listing Woo_Categories","Item Woo_Size","Item Woo_SalePrice","Listing Woo_SalePrice",
"One","1","111111111111111111",,"1",,"One",,"111000000000000000",,"1",
"GOLDEN PHEASANT TOPPINGS CREST","10000014",,,"VENIARD",,"GOLDEN PHEASANT TOPPINGS CREST",,,,"VENIARD",
"SOLID WIRE GOLD NO.26","10000016",,,"VENIARD",,"SOLID WIRE GOLD NO.26",,,,"VENIARD",
"SOLID WIRE GOLD NO.27","10000017",,,"VENIARD",,"SOLID WIRE GOLD NO.27",,,,"VENIARD",
"PEARL BRAID PEARL","10000018",,,"VENIARD",,"PEARL BRAID PEARL",,,,"VENIARD",
"PEARL BRAID UV PEARL","10000019",,,,,"PEARL BRAID UV PEARL",,,,,
"DUBBING NEEDLE","10000020",,,"VENIARD",,"DUBBING NEEDLE",,,,"VENIARD",
"SILICONE TUBBING DAYGLO GREEN","10000021",,,"VENIARD",,"SILICONE TUBBING DAYGLO GREEN",,,,"VENIARD",
"SUPER STRETCH FLOSS","10000022",,,"VENIARD",,"SUPER STRETCH FLOSS",,,,"VENIARD",
"MAGIC GLASS V RIB","10000023",,,"VENIARD",,"MAGIC GLASS V RIB",,,,"VENIARD",
"CDC GREY","10000024",,,"VENIARD",,"CDC GREY",,,,"VENIARD",
"ENGLISH PARTRIDGE","10000025",,,"VENIARD",,"ENGLISH PARTRIDGE",,,,"VENIARD",
"PEACOCK QUILL","10000026",,,"VENIARD",,"PEACOCK QUILL",,,,"VENIARD",
"ALUMINUM CONE HEADS BLK S","10000027",,,"VENIARD",,"ALUMINUM CONE HEADS BLK S",,,,"VENIARD",
"ICE YARN HOT ORANGE","10000028",,,"VENIARD",,"ICE YARN HOT ORANGE",,,,"VENIARD",
"FLU WOOL","10000029",,,"VENIARD",,"FLU WOOL",,,,"VENIARD",
"BROWN BELT M","10010827","10010827",,"CARABOU",,"BROWN BELT M",,"10010827",,"CARABOU",
"BROWN BELT XL","10010829","10010829",,"CARABOU",,"BROWN BELT XL",,"10010829",,"CARABOU",
"BROWN BELT 2XL","10010830","10010830",,"CARABOU",,"BROWN BELT 2XL",,"10010830",,"CARABOU",
"SMALL TRAVEL CASE","11111111",,,"MF HANDBAGS",,"SMALL TRAVEL CASE",,,,"MF HANDBAGS",
"MED TRAVEL CASE","11111112",,,"MF HANDBAGS",,"MED TRAVEL CASE",,,,"MF HANDBAGS",
"LARGE TRAVEL CASE","11111113",,,"MF HANDBAGS",,"LARGE TRAVEL CASE",,,,"MF HANDBAGS",
"DEER HAIR","12121212","12121212",,"NAPIER & CRAIG",,"DEER HAIR",,"12121212",,"NAPIER & CRAIG",
"Crosshatch Mens","19627575",,"Crosshatch Mens","CROSSHATCH",,"Crosshatch Mens",,,"Crosshatch Mens","CROSSHATCH",
"Crosshatch Kids","19627594",,"Crosshatch Kids","CROSSHATCH",,"Crosshatch Kids",,,"Crosshatch Kids","CROSSHATCH",
"WOMENWEAR","19627686",,"WOMENWEAR",,,"WOMENWEAR",,,"WOMENWEAR",,
"Accessories","19682749",,"Accessories",,,"Accessories",,,"Accessories",,
"Kitchenkraft","19683116",,"Kitchenkraft",,,"Kitchenkraft",,,"Kitchenkraft",,
"Jeans","19683197",,"Jeans",,,"Jeans",,,"Jeans",,
"Suits","19683210",,"Suits",,,"Suits",,,"Suits",,
"Luggage","19683287",,"Luggage",,,"Luggage",,,"Luggage",,
"Boxers","19687045",,"Boxers",,,"Boxers",,,"Boxers",,
"Socks","19687050",,"Socks",,,"Socks",,,"Socks",,
"Revlon Hairdryer","19748175","761318552611","Revlon Hairdryer",,,"Revlon Hairdryer",,"761000000000","Revlon Hairdryer",,
"Tony&Guy Hairdryer","19748196","97954353702","Tony&Guy Hairdryer",,,"Tony&Guy Hairdryer",,"97954353702","Tony&Guy Hairdryer",,
"Wireless Headphones","19748255","5056114931049","Wireless Headphones",,,"Wireless Headphones",,"5060000000000","Wireless Headphones",,
"Revlon Pediprep spa","19748320","761318270218","Revlon Pediprep spa",,,"Revlon Pediprep spa",,"761000000000","Revlon Pediprep spa",,
"Electric Knife","19748352","5011423173474","Electric Knife","KENWOOD",,"Electric Knife",,"5010000000000","Electric Knife","KENWOOD",
"RAEL BROOK","19823652",,"RAEL BROOK",,,"RAEL BROOK",,,"RAEL BROOK",,
"Wall Clock","19889117","5028250603807","Wall clock",,,"Wall Clock",,"5030000000000","Wall clock",,
"4 Ramekins","19892296","5028250161130","4 Ramekins",,,"4 Ramekins",,"5030000000000","4 Ramekins",,
"Round dish","19892527","5028250449573","Round dish",,,"Round dish",,"5030000000000","Round dish",,
"Shirts","19892533",,"Shirts",,,"Shirts",,,"Shirts",,
"Serving dish","19893236","5028250776952","Serving dish",,,"Serving dish",,"5030000000000","Serving dish",,
"Mini Saucepan","19893250","5028250643735","Mini Saucepan",,,"Mini Saucepan",,"5030000000000","Mini Saucepan",,
"Placemats","19893728","5050993347830","Placemats",,,"Placemats",,"5050000000000","Placemats",,
"Navy Marble Placemats","19893747","5050993326163","Navy Marble Placemats",,,"Navy Marble Placemats",,"5050000000000","Navy Marble Placemats",,
"MC Large salt/pepper mill","19897054","5028250785350","MC salt/pepper mill",,,"MC Large salt/pepper mill",,"5030000000000","MC salt/pepper mill",,
"cafe chair mug","19924514","5028250518729","cafe chair mug",,,"cafe chair mug",,"5030000000000","cafe chair mug",,
"blue mug","19926007","5050993324565","blue mug",,,"blue mug",,"5050000000000","blue mug",,
"cream mug","19926024","5050993280366","cream mug",,,"cream mug",,"5050000000000","cream mug",,
"grey mug","19926063","5050993280373","grey mug",,,"grey mug",,"5050000000000","grey mug",,
"triangle mug","19926107","5050993297685","triangle mug",,,"triangle mug",,"5050000000000","triangle mug",,
"cappuccino cup","19926214","5011561009062","cappuccino cup",,,"cappuccino cup",,"5010000000000","cappuccino cup",,
"3 cup cafetiere","19926274","5011561005552","3 cup cafetiere",,,"3 cup cafetiere",,"5010000000000","3 cup cafetiere",,
"vacuum insulated bottle","19926298","5050993357600","vacuum insulated bottle",,,"vacuum insulated bottle",,"5050000000000","vacuum insulated bottle",,
"gunmetal grey 8 cup cafetiere","19926341","5011561010174","gunmetal grey 8 cup cafetiere",,,"gunmetal grey 8 cup cafetiere",,"5010000000000","gunmetal grey 8 cup cafetiere",,
"caviar oval plate","19926372","9315121761404","caviar oval plate",,,"caviar oval plate",,"9320000000000","caviar oval plate",,
"new york bottle double wall insulated","19926704","5050993357648","new york bottle double wall insulated","NEW YORK",,"new york bottle double wall insulated",,"5050000000000","new york bottle double wall insulated","NEW YORK",
"boho plate","19926895","9315121755335","boho plate",,,"boho plate",,"9320000000000","boho plate",,
"square dinner plate","19929186","5050993280335","square dinner plate",,,"square dinner plate",,"5050000000000","square dinner plate",,
"plum serving tray","19929282","5050993348752","plum serving tray",,,"plum serving tray",,"5050000000000","plum serving tray",,
"grey serving tray","19929289","5050993348332","grey serving tray",,,"grey serving tray",,"5050000000000","grey serving tray",,
"blue clock","19929598","5028250608826","blue clock",,,"blue clock",,"5030000000000","blue clock",,
"coaster","19929654","9315121744070","coaster",,,"coaster",,"9320000000000","coaster",,
"spoon rest","19929686","5028250130754","spoon rest","KITCHEN CRAFT",,"spoon rest",,"5030000000000","spoon rest","KITCHEN CRAFT",
"coaster","19929698","9315121755601","coaster",,,"coaster",,"9320000000000","coaster",,
"stainless steel teapot","19929931","5011561001844","stainless steel teapot",,,"stainless steel teapot",,"5010000000000","stainless steel teapot",,
"wooden placemats","19930372",,"wooden placemats",,,"wooden placemats",,,"wooden placemats",,
"cake tin","19930501","5028250645937","cake tin",,,"cake tin",,"5030000000000","cake tin",,
"eco bread bin","19931845",,"eco bread bin",,,"eco bread bin",,,"eco bread bin",,
"white basics","19931899","9315121768649","white basics",,,"white basics",,"9320000000000","white basics",,
"lasagne dish","19931991","5028250159212","lasagne dish",,,"lasagne dish",,"5030000000000","lasagne dish",,
"cutlery set","19932208","5050993348387","cutlery set",,,"cutlery set",,"5050000000000","cutlery set",,
"copper cafetiere","19932307","5011561005415","copper cafetiere",,,"copper cafetiere",,"5010000000000","copper cafetiere",,
"4 glasses mikasa","19932674","885991171225","4 glasses mikasa",,,"4 glasses mikasa",,"886000000000","4 glasses mikasa",,
"roaster","19932864","5028250603678","roaster",,,"roaster",,"5030000000000","roaster",,
"roasting pan","19932889","5028250149107","roasting pan",,,"roasting pan",,"5030000000000","roasting pan",,
"serving stand","19933149","5028250794437","serving stand","ARTESA",,"serving stand",,"5030000000000","serving stand","ARTESA",
"terrazzo board","19933218","9315121770277","terrazzo boqrd",,,"terrazzo board",,"9320000000000","terrazzo boqrd",,
"heavy duty trivet","19933240","5028250125101","heavy duty trivet",,,"heavy duty trivet",,"5030000000000","heavy duty trivet",,
"oven glove","19933260","5028250134004","oven glove",,,"oven glove",,"5030000000000","oven glove",,
"wood marble paddle board","19933295","5028250542052","wood marble paddle board",,,"wood marble paddle board",,"5030000000000","wood marble paddle board",,
"acacia serve board","19933435","5050993298057","acacia serve board",,,"acacia serve board",,"5050000000000","acacia serve board",,
"dish towels","19933467","5028250692016","dish towels",,,"dish towels",,"5030000000000","dish towels",,
"tea towel","19933497","5028250771995","tea towel",,,"tea towel",,"5030000000000","tea towel",,
"glass storage jar","19933554","5028250645210","glass storage jar",,,"glass storage jar",,"5030000000000","glass storage jar",,
"sauce dish","19933586","9315121633800","sauce dish",,,"sauce dish",,"9320000000000","sauce dish",,
"colander","19933643","5028250850065","colander",,,"colander",,"5030000000000","colander",,
"VOUCHER","20235106",,"VOUCHER",,,"VOUCHER",,,"VOUCHER",,
"CLOTHING","20236890",,"CLOTHING",,,"CLOTHING",,,"CLOTHING",,
"ties","20383044",,"ties",,,"ties",,,"ties",,
"FLAT CAP","20385946","58","HARRIS TWEED",,,"FLAT CAP",,"58","HARRIS TWEED",,
"BEANIE","20386295","40077561349","BEANIE","CONVERSE",,"BEANIE",,"40077561349","BEANIE","CONVERSE",
"GLOVES","20386322","5055928615725","THERMAL INSULATION",,,"GLOVES",,"5060000000000","THERMAL INSULATION",,
"FLAT CAP","20386345","5020133132275","FLAT CAP","TOM FRANKS",,"FLAT CAP",,"5020000000000","FLAT CAP","TOM FRANKS",
"THINSULATE BOBBLE HAT","20386367","5031367594975","THINSULATE BOBBLE HAT","PRO CLIMATE",,"THINSULATE BOBBLE HAT",,"5030000000000","THINSULATE BOBBLE HAT","PRO CLIMATE",
"GLOVES","20386398","5020133131308","HEATGUARD GLOVES",,,"GLOVES",,"5020000000000","HEATGUARD GLOVES",,
"THINSULATE GLOVES","20386405","5055273003741","THINSULATE GLOVES",,,"THINSULATE GLOVES",,"5060000000000","THINSULATE GLOVES",,
"THINSULATE BEANIE M/L","20386492","5031367553958","THINSULATE BEANIE M/L","PRO CLIMATE",,"THINSULATE BEANIE M/L",,"5030000000000","THINSULATE BEANIE M/L","PRO CLIMATE",
"SNOOD","20386546","61","SNOOD","VIPER",,"SNOOD",,"61","SNOOD","VIPER",
"FLEECE BALACLAVA","20386585","5031367553248","FLEECE BALACLAVA","PRO CLIMATE",,"FLEECE BALACLAVA",,"5030000000000","FLEECE BALACLAVA","PRO CLIMATE",
"WATERPROOF 4HERMAL GLOVES","20386593","5031367622180","WATERPROOF 4HERMAL GLOVES","PRO CLIMATE",,"WATERPROOF 4HERMAL GLOVES",,"5030000000000","WATERPROOF 4HERMAL GLOVES","PRO CLIMATE",
"TRAPPER HAT","20386614","5055273046687","TRAPPER HAT",,,"TRAPPER HAT",,"5060000000000","TRAPPER HAT",,
"SNOOD","20386625","5055273052121","SNOOD","VIPER",,"SNOOD",,"5060000000000","SNOOD","VIPER",
"SNOOD","20386634","5060151707574","SNOOD","ROCKJOCK",,"SNOOD",,"5060000000000","SNOOD","ROCKJOCK",
"FLEECE SCARF","20386646","5060151700377","FLEECE SCARF","FLAGSTAFF",,"FLEECE SCARF",,"5060000000000","FLEECE SCARF","FLAGSTAFF",
"BELT","20386740","63","BELT","D555",,"BELT",,"63","BELT","D555",
"BELT","20386779","5000000259014","BELT","D555",,"BELT",,"5000000000000","BELT","D555",
"BOXER SHORTS","20386794","390141451","BOXER SHORTS","CLASSIC SPORTS",,"BOXER SHORTS",,"390141451","BOXER SHORTS","CLASSIC SPORTS",
"MEN SOCKS PACK","20389378","62","MEN SOCKS PACK","FARAH",,"MEN SOCKS PACK",,"62","MEN SOCKS PACK","FARAH",
"SOCKS","20389489","56","SOCKS","SILVERPOINT",,"SOCKS",,"56","SOCKS","SILVERPOINT",
"HIKER SOCKS","20389499","55","HIKER SOCKS","SILVERPOINT",,"HIKER SOCKS",,"55","HIKER SOCKS","SILVERPOINT",
"HIKING AND TRAVEL SOCKS","20389515","54","HIKING AND TRAVEL SOCKS","SILVERPOINT",,"HIKING AND TRAVEL SOCKS",,"54","HIKING AND TRAVEL SOCKS","SILVERPOINT",
"COMFORT HIKER","20389787","57","COMFORT HIKER","SILVERPOINT",,"COMFORT HIKER",,"57","COMFORT HIKER","SILVERPOINT",
"GENTLE GRIP SOCKS","20389825","5019041149475","GENTLE GRIP SOCKS",,,"GENTLE GRIP SOCKS",,"5020000000000","GENTLE GRIP SOCKS",,
"HEAT MACHINE SOCKS","20389843","53","HEAT MACHINE SOCKS","Lord Wholesale",,"HEAT MACHINE SOCKS",,"53","HEAT MACHINE SOCKS","Lord Wholesale",
"KILT SOCKS","20389863","8033316576916","KILT SOCKS","SCOTTISH HIGHLAND WEAR",,"KILT SOCKS",,"8030000000000","KILT SOCKS","SCOTTISH HIGHLAND WEAR",
"THERMAL SKI SOCKS","20389915","5052419102337","THERMAL SKI SOCKS","THERMA-TEC",,"THERMAL SKI SOCKS",,"5050000000000","THERMAL SKI SOCKS","THERMA-TEC",
